,STATENAME,ACTIVITY.LEVEL
1,alabama,1
203,arizona,2
352,arkansas,1
664,california,7
1180,colorado,2
1259,connecticut,1
1350,delaware,1
1444,district of columbia,2
1454,florida,3
2326,georgia,2
2707,idaho,1
2940,illinois,4
3269,indiana,2
3526,iowa,2
3782,kansas,10
3895,kentucky,2
4292,louisiana,1
4942,maine,0
5341,maryland,2
5907,massachusetts,2
6193,michigan,2
7023,minnesota,3
7396,mississippi,1
7778,missouri,3
8093,montana,1
8331,nebraska,1
8539,nevada,1
8609,new hampshire,0
8734,new jersey,2
8939,new mexico,1
9017,new york,2
9512,north carolina,2
10294,north dakota,1
10399,ohio,3
10637,oklahoma,2
10921,oregon,1
11157,pennsylvania,3
11329,rhode island,1
11395,south carolina,1
11699,south dakota,1
11865,tennessee,2
12154,texas,5
13242,utah,1
13301,vermont,0
13430,virginia,2
14164,washington,1
14709,west virginia,1
15082,wisconsin,2
15470,wyoming,1
